id,title,description,startDate,endDate,status,storyPoints,assignedTo,feature
t1,User Login API,Implement user login endpoint with validation,2026-02-10,2026-02-14,planned,5,Sarah Chen,Authentication
t2,Password Reset Flow,Build password reset email flow,2026-02-17,2026-02-21,planned,3,Marcus Rivera,Authentication
t3,Session Management,Handle user session lifecycle,2026-02-24,2026-02-28,planned,5,Elena Zhang,Authentication
t4,OAuth Integration,Integrate third-party OAuth providers,2026-03-03,2026-03-10,planned,8,James Wilson,Authentication
t5,JWT Token Refresh,Auto-refresh JWT tokens before expiry,2026-03-10,2026-03-14,planned,3,Priya Patel,Authentication
t6,Multi-Factor Auth Setup,Add MFA support via TOTP,2026-03-17,2026-03-21,planned,5,Alex Thompson,Authentication
t7,User Profile Management,CRUD for user profiles,2026-03-24,2026-03-28,planned,3,Yuki Tanaka,User Management
t8,RBAC Implementation,Role-based access control system,2026-03-31,2026-04-07,planned,8,Maria Garcia,User Management
t9,Audit Logging,Log user actions for compliance,2026-04-07,2026-04-11,planned,5,Sarah Chen,User Management
t10,Security Headers,Configure security response headers,2026-04-14,2026-04-18,planned,3,Marcus Rivera,Security
t11,API Rate Limiting,Rate limit API endpoints,2026-04-21,2026-04-25,planned,5,Elena Zhang,Security
t12,CORS Configuration,Set up CORS policies,2026-04-28,2026-05-02,planned,3,James Wilson,Security
t13,Dashboard Analytics API,Backend API for analytics data,2026-02-10,2026-02-17,planned,8,Priya Patel,Dashboard
t14,Chart Component Library,Reusable chart components,2026-02-17,2026-02-24,planned,8,Alex Thompson,Dashboard
t15,Data Export CSV,Export dashboard data to CSV,2026-02-24,2026-03-03,planned,5,Yuki Tanaka,Dashboard
t16,Real-time Metrics,WebSocket-based live metrics,2026-03-03,2026-03-17,planned,13,Maria Garcia,Dashboard
t17,Custom Reports,User-configurable report builder,2026-03-17,2026-03-24,planned,8,Sarah Chen,Dashboard
t18,Email Notifications,Transactional email system,2026-03-24,2026-03-31,planned,5,Marcus Rivera,Notifications
t19,Performance Tuning,Optimize critical query paths,2026-03-31,2026-04-07,planned,5,Elena Zhang,Performance
t20,Dashboard Caching,Redis caching for dashboard,2026-04-07,2026-04-11,planned,3,James Wilson,Performance
t21,Mobile App Setup,Initialize React Native project,2026-02-10,2026-02-14,planned,5,Maria Garcia,Mobile
t22,Navigation System,Tab and stack navigation,2026-02-17,2026-02-21,planned,5,Priya Patel,Mobile
t23,Offline Sync,Offline-first data sync engine,2026-02-24,2026-03-10,planned,13,Alex Thompson,Mobile
t24,Push Notifications,Firebase push notification setup,2026-03-10,2026-03-17,planned,8,Yuki Tanaka,Mobile
t25,Camera Integration,Camera and image capture,2026-03-17,2026-03-24,planned,5,Sarah Chen,Mobile
t26,File Upload,Multi-part file uploads,2026-03-24,2026-03-31,planned,5,Marcus Rivera,Mobile
t27,Biometric Auth,Fingerprint and face ID,2026-03-31,2026-04-07,planned,8,Elena Zhang,Mobile
t28,App Store Deployment,App store submission process,2026-04-07,2026-04-14,planned,8,Maria Garcia,Mobile
t29,CI/CD Pipeline,GitHub Actions CI/CD setup,2026-02-10,2026-02-17,planned,8,James Wilson,Infrastructure
t30,Kubernetes Setup,K8s cluster configuration,2026-02-17,2026-02-24,planned,8,James Wilson,Infrastructure
t31,Monitoring & Alerts,Datadog monitoring setup,2026-02-24,2026-03-03,planned,8,Alex Thompson,Infrastructure
t32,Auto-scaling Config,HPA and VPA auto-scaling,2026-03-03,2026-03-10,planned,5,Alex Thompson,Infrastructure
t33,Backup Strategy,Automated backup and restore,2026-03-10,2026-03-17,planned,8,James Wilson,Infrastructure
t34,Security Hardening,Infrastructure security audit,2026-03-17,2026-03-24,planned,8,Alex Thompson,Infrastructure
t35,Load Balancer Setup,Nginx load balancer config,2026-03-24,2026-03-31,planned,5,James Wilson,Infrastructure
t36,Production Deployment,Full production rollout,2026-03-31,2026-04-14,planned,13,James Wilson,Infrastructure
t37,E2E Test Framework,Cypress E2E test setup,2026-02-17,2026-02-21,planned,5,Lisa Park,QA & Testing
t38,API Integration Tests,REST API test suite,2026-02-24,2026-03-03,planned,8,Tom Zhang,QA & Testing
t39,Mobile Testing iOS,iOS device testing,2026-03-10,2026-03-17,planned,8,Lisa Park,QA & Testing
t40,Mobile Testing Android,Android device testing,2026-03-10,2026-03-17,planned,8,Tom Zhang,QA & Testing
t41,Performance Tests,Load and stress testing,2026-03-17,2026-03-24,planned,8,Lisa Park,QA & Testing
t42,Security Testing,Penetration testing,2026-03-24,2026-03-31,planned,8,Tom Zhang,QA & Testing
t43,UAT Coordination,User acceptance testing,2026-03-31,2026-04-07,planned,5,Lisa Park,QA & Testing
t44,Regression Testing,Full regression test cycle,2026-04-07,2026-04-14,planned,8,Tom Zhang,QA & Testing
t45,Design System,Design token library,2026-02-10,2026-02-17,planned,5,Sofia Martinez,Design
t46,Dashboard Mockups,Dashboard wireframes and mockups,2026-02-17,2026-02-24,planned,8,Sofia Martinez,Design
t47,Mobile UI Design,Mobile app UI/UX design,2026-02-24,2026-03-10,planned,13,Sofia Martinez,Design
t48,Accessibility Audit,WCAG compliance audit,2026-03-10,2026-03-17,planned,5,David Kim,Design
t49,User Flow Optimization,Optimize key user journeys,2026-03-17,2026-03-24,planned,5,David Kim,Design
t50,Usability Testing,User testing sessions,2026-03-24,2026-03-31,planned,8,Sofia Martinez,Design
